  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2209                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -0.8942   0.00000  -0.00101  -0.0469   0.0000   0.0000
  -9.000  -0.7769   0.00000  -0.00097  -0.0476   0.0000   0.0000
  -8.000  -0.6594   0.00000  -0.00093  -0.0483   0.0000   0.0000
  -7.000  -0.5417   0.00000  -0.00090  -0.0491   0.0000   0.0000
  -6.000  -0.4239   0.00000  -0.00087  -0.0499   0.0000   0.0000
  -5.000  -0.3059   0.00000  -0.00084  -0.0507   0.0000   0.0000
  -4.000  -0.1878   0.00000  -0.00082  -0.0516   0.0000   0.0000
  -3.000  -0.0697   0.00000  -0.00080  -0.0525   0.0000   0.0000
  -2.000   0.0485   0.00000  -0.00079  -0.0534   0.0000   0.0000
  -1.000   0.1666   0.00000  -0.00078  -0.0544   0.0000   0.0000
   0.000   0.2847   0.00000  -0.00077  -0.0554   0.0000   0.0000
   1.000   0.4027   0.00000  -0.00077  -0.0564   0.0000   0.0000
   2.000   0.5206   0.00000  -0.00077  -0.0575   0.0000   0.0000
   3.000   0.6383   0.00000  -0.00078  -0.0586   0.0000   0.0000
   4.000   0.7558   0.00000  -0.00080  -0.0597   0.0000   0.0000
   5.000   0.8731   0.00000  -0.00081  -0.0609   0.0000   0.0000
   6.000   0.9901   0.00000  -0.00083  -0.0620   0.0000   0.0000
   7.000   1.1069   0.00000  -0.00086  -0.0632   0.0000   0.0000
   8.000   1.2233   0.00000  -0.00089  -0.0645   0.0000   0.0000
   9.000   1.3393   0.00000  -0.00093  -0.0657   0.0000   0.0000
  10.000   1.4549   0.00000  -0.00097  -0.0670   0.0000   0.0000
