  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2212                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -0.9146   0.00000  -0.00127  -0.0432   0.0000   0.0000
  -9.000  -0.7945   0.00000  -0.00124  -0.0443   0.0000   0.0000
  -8.000  -0.6743   0.00000  -0.00122  -0.0454   0.0000   0.0000
  -7.000  -0.5538   0.00000  -0.00120  -0.0465   0.0000   0.0000
  -6.000  -0.4331   0.00000  -0.00118  -0.0477   0.0000   0.0000
  -5.000  -0.3123   0.00000  -0.00116  -0.0490   0.0000   0.0000
  -4.000  -0.1914   0.00000  -0.00115  -0.0503   0.0000   0.0000
  -3.000  -0.0705   0.00000  -0.00113  -0.0516   0.0000   0.0000
  -2.000   0.0505   0.00000  -0.00113  -0.0530   0.0000   0.0000
  -1.000   0.1714   0.00000  -0.00112  -0.0544   0.0000   0.0000
   0.000   0.2923   0.00000  -0.00112  -0.0559   0.0000   0.0000
   1.000   0.4131   0.00000  -0.00112  -0.0573   0.0000   0.0000
   2.000   0.5338   0.00000  -0.00112  -0.0588   0.0000   0.0000
   3.000   0.6543   0.00000  -0.00113  -0.0604   0.0000   0.0000
   4.000   0.7746   0.00000  -0.00114  -0.0620   0.0000   0.0000
   5.000   0.8947   0.00000  -0.00115  -0.0636   0.0000   0.0000
   6.000   1.0145   0.00000  -0.00117  -0.0652   0.0000   0.0000
   7.000   1.1340   0.00000  -0.00118  -0.0668   0.0000   0.0000
   8.000   1.2532   0.00000  -0.00120  -0.0685   0.0000   0.0000
   9.000   1.3719   0.00000  -0.00123  -0.0702   0.0000   0.0000
  10.000   1.4903   0.00000  -0.00126  -0.0719   0.0000   0.0000
